Kernel,Skenario_Tanpa_SMOTE,F1_Tanpa_SMOTE,Skenario_Dengan_SMOTE,F1_Dengan_SMOTE,Delta_F1,Accuracy_Tanpa_SMOTE,Accuracy_Dengan_SMOTE,Delta_Accuracy
Linear,1A,0.6237970253718286,1B,0.6715932395163001,0.04779621414447155,0.7093023255813954,0.7209302325581395,0.011627906976744096
RBF,2A,0.6851010101010101,2B,0.646481612446959,-0.03861939765405109,0.7751937984496124,0.7596899224806202,-0.015503875968992276
Polynomial,3A,0.6815148028036405,3B,0.6910731838084174,0.009558381004776906,0.7713178294573644,0.7403100775193798,-0.03100775193798455
