Skenario,Kernel,Kondisi_SMOTE,Accuracy,Precision_Macro,Recall_Macro,Precision_Weighted,Recall_Weighted,AUC_Score,Running_Time_Seconds,Best_Params,Best_CV_Accuracy
1A,Linear,Tanpa SMOTE,0.810077519379845,0.7783613445378151,0.6689916301315265,0.7997280307471826,0.810077519379845,0.8105619768832204,3.066044330596924,"{""C"": 1, ""kernel"": ""linear""}",0.78597679374852
1B,Linear,Dengan SMOTE,0.7209302325581395,0.6645161290322581,0.701235552012754,0.7648078686338252,0.7209302325581395,0.767198086887206,0.48168039321899414,"{""C"": 10, ""kernel"": ""linear""}",0.8350833493006323
2A,RBF,Tanpa SMOTE,0.7751937984496124,0.6980743394536497,0.6762853726584297,0.7647722499366445,0.7751937984496124,0.8060980470306895,0.493053674697876,"{""C"": 10, ""gamma"": 0.1, ""kernel"": ""rbf""}",0.7791854132133554
2B,RBF,Dengan SMOTE,0.7596899224806202,0.6711707169506907,0.6353128736548426,0.7402588773642942,0.7596899224806202,0.7693503387803906,1.136519193649292,"{""C"": 100, ""gamma"": ""scale"", ""kernel"": ""rbf""}",0.9087585957292796
3A,Polynomial,Tanpa SMOTE,0.7713178294573644,0.6926272984441302,0.6736946990833002,0.7616162571406643,0.7713178294573644,0.8019529693104823,0.8987476825714111,"{""C"": 10, ""coef0"": 1, ""degree"": 2, ""gamma"": 0.1, ""kernel"": ""poly""}",0.7762727918541321
3B,Polynomial,Dengan SMOTE,0.7403100775193798,0.6819444444444445,0.71929055400558,0.7777239448751077,0.7403100775193798,0.7745316859306497,2.6432793140411377,"{""C"": 10, ""coef0"": 1, ""degree"": 3, ""gamma"": 0.1, ""kernel"": ""poly""}",0.8350854782738285
